iter	Logloss
0	0.6837065008
1	0.6744997732
2	0.6656393239
3	0.6554008719
4	0.6454071104
5	0.6370783548
6	0.6295128109
7	0.6215764985
8	0.6141061499
9	0.6062383468
10	0.5988686147
11	0.5918500795
12	0.5851958143
13	0.5791365018
14	0.5741336799
15	0.5684404307
16	0.5633144623
17	0.558442625
18	0.5533458636
19	0.548187396
20	0.542743757
21	0.5375034601
22	0.5329338645
23	0.5285949066
24	0.5258363835
25	0.5226961695
26	0.5194788858
27	0.5171599939
28	0.5140265031
29	0.5111427003
30	0.5073214157
31	0.5041610265
32	0.500715191
33	0.4977666443
34	0.4948696387
35	0.4923761558
36	0.4895262178
37	0.4868176486
38	0.4833952179
39	0.4812483276
40	0.4790065993
41	0.476242907
42	0.4737421541
43	0.4718939735
44	0.4688996646
45	0.4672319497
46	0.4651162269
47	0.4633543579
48	0.4611051013
49	0.4589270424
50	0.4572524094
51	0.4545312842
52	0.452816528
53	0.4509688015
54	0.4492555729
55	0.4474585641
56	0.4460610934
57	0.4444943043
58	0.4429091264
59	0.4411850143
60	0.4398151686
61	0.4380940036
62	0.4368530169
63	0.4354233054
64	0.4343888882
65	0.4326248295
66	0.4312002962
67	0.4302561631
68	0.4289949239
69	0.427682703
70	0.4264713
71	0.4252408051
72	0.4240219921
73	0.4227755674
74	0.4217528648
75	0.4205926022
76	0.4194686395
77	0.4183467567
78	0.4172484499
79	0.4162744236
80	0.4152146678
81	0.4143133007
82	0.4133553434
83	0.4123001929
84	0.4112225746
85	0.4102472
86	0.4091082309
87	0.4078802332
88	0.4070054983
89	0.4058744935
90	0.4048345404
91	0.4044589598
92	0.4036425714
93	0.4028274701
94	0.4018760143
95	0.4012050506
96	0.4003181039
97	0.3997426591
98	0.3991113074
99	0.398472365
100	0.3972071322
101	0.3965126954
102	0.3957709406
103	0.3949550086
104	0.3942190745
105	0.3934864715
106	0.3928453716
107	0.3921015807
108	0.3914156689
109	0.3907077547
110	0.390214567
111	0.3892297226
112	0.38871665
113	0.3881325651
114	0.3879181217
115	0.3873229231
116	0.3866225173
117	0.386206547
118	0.385890152
119	0.3852874351
120	0.384835906
121	0.3840863909
122	0.3835411615
123	0.3827231668
124	0.382110802
125	0.3818194303
126	0.3813581789
127	0.3807066157
128	0.3802152407
129	0.3796325526
130	0.3791360402
131	0.3784167363
132	0.3778486834
133	0.3772802787
134	0.376753994
135	0.3762203941
136	0.3756624586
137	0.3750406662
138	0.3744775897
139	0.373978174
140	0.3735409014
141	0.3729543713
142	0.3724914001
143	0.3720162131
144	0.3715666736
145	0.3709998533
146	0.370221877
147	0.3695616216
148	0.3691189628
149	0.3686232507
150	0.3682679005
151	0.3678224759
152	0.3673692403
153	0.3667116018
154	0.3661402807
155	0.3657406257
156	0.3654541392
157	0.3650313672
158	0.3647188341
159	0.3643491774
160	0.3639404273
161	0.3636973148
162	0.3629328738
163	0.3625103302
164	0.3620890676
165	0.3616182917
166	0.3613404188
167	0.3610807157
168	0.3604860496
169	0.360002605
170	0.3597244486
171	0.3591760136
172	0.3586252291
173	0.3583982125
174	0.357997851
175	0.3577525346
176	0.35735879
177	0.3567688896
178	0.3563199459
179	0.3557746034
180	0.355460074
181	0.3551550316
182	0.3549189414
183	0.3545206881
184	0.3538174229
185	0.3535282452
186	0.3531076624
187	0.3527558871
188	0.352403126
189	0.3519558253
190	0.3516741199
191	0.3513935857
192	0.3511040145
193	0.3508154606
194	0.3505530663
195	0.3503574255
196	0.350140159
197	0.3497788653
198	0.3494225083
199	0.3490519849
200	0.3486139253
201	0.3482871762
202	0.3477753831
203	0.3474164901
204	0.3469912909
205	0.3465122076
206	0.3462732678
207	0.3458706719
208	0.3455952749
209	0.3452644723
210	0.3448359978
211	0.3445508197
212	0.3442495038
213	0.3439967704
214	0.343506238
215	0.3432033533
216	0.3427823238
217	0.3425219794
218	0.3422215333
219	0.3419330503
220	0.3416807171
221	0.3412280197
222	0.3407679863
223	0.3405590287
224	0.3402971705
225	0.3397427299
226	0.339421289
227	0.3391952923
228	0.3386451382
229	0.3381834969
230	0.3377645975
231	0.3375575787
232	0.3372631948
233	0.3370222505
234	0.3367156428
235	0.3363066276
236	0.3359619817
237	0.3357353015
238	0.3352857809
239	0.3351282898
240	0.3347044298
241	0.3344655069
242	0.3338636967
243	0.3334163693
244	0.3331228899
245	0.3329064253
246	0.33261179
247	0.3324855974
248	0.3322217681
249	0.3320350172
250	0.3318155082
251	0.3313981574
252	0.3311689972
253	0.3309330451
254	0.3306720398
255	0.3303023481
256	0.3300179969
257	0.3296839432
258	0.3292271815
259	0.3291283178
260	0.3288091707
261	0.3285365735
262	0.3281483083
263	0.3278668129
264	0.3277026374
265	0.3273553114
266	0.3269250084
267	0.3265763735
268	0.3264257019
269	0.3260226603
270	0.3256520645
271	0.3254901356
272	0.3252502826
273	0.3248256888
274	0.3245150733
275	0.3239280288
276	0.3236509697
277	0.323318052
278	0.3229801868
279	0.3227734271
280	0.3225686926
281	0.3223200595
282	0.3219583631
283	0.3217218355
284	0.3213905262
285	0.3211155821
286	0.3209522847
287	0.320599091
288	0.3203200439
289	0.3200855825
290	0.3198597138
291	0.3196596216
292	0.3194249634
293	0.3191320539
294	0.3189283074
295	0.3187623288
296	0.3184013714
297	0.3180768957
298	0.3178221282
299	0.3174826862
300	0.3171150609
301	0.3167261334
302	0.3164075865
303	0.3162340512
304	0.3159657442
305	0.3156449984
306	0.3154538642
307	0.3152261789
308	0.3149792203
309	0.3147744524
310	0.3144923829
311	0.3142367131
312	0.3139815609
313	0.3136617225
314	0.3134113595
315	0.3130138156
316	0.3127663103
317	0.3126439134
318	0.312381784
319	0.3121956843
320	0.3119571286
321	0.3116947137
322	0.3114920118
323	0.3113261791
324	0.3111583812
325	0.3108559189
326	0.3106958843
327	0.310427174
328	0.3100813854
329	0.3097580869
330	0.3095830166
331	0.3093386651
332	0.3089943461
333	0.3088117117
334	0.3085441823
335	0.3083270656
336	0.3081960107
337	0.3080765976
338	0.3077385195
339	0.3075494966
340	0.3072923822
341	0.3069451496
342	0.3067474887
343	0.3065294164
344	0.306159683
345	0.3058725282
346	0.3056547134
347	0.3053667656
348	0.3051490149
349	0.3049740045
350	0.3048283369
351	0.3045448589
352	0.3043797017
353	0.304204455
354	0.3036890164
355	0.3034637259
356	0.3032845783
357	0.3030062195
358	0.3028374767
359	0.3026441845
360	0.3024935848
361	0.3020766002
362	0.3018141568
363	0.3015069003
364	0.3012632264
365	0.301070912
366	0.3007516241
367	0.3005811199
368	0.3004581519
369	0.3002506966
370	0.3000275197
371	0.2999349706
372	0.299582702
373	0.2994591839
374	0.2991634732
375	0.2990740191
376	0.2989261685
377	0.2986861227
378	0.2984771705
379	0.2981871178
380	0.2977875355
381	0.2975793421
382	0.2974109888
383	0.2972521475
384	0.2969456539
385	0.2967703849
386	0.2965008522
387	0.2963866551
388	0.2962134596
389	0.29595718
